Entrez.Gene,Symbol,metaZscore,metaPval,effect,Pval.adj,Bonferroni,maxFC,avgFC,BraakR,atrophyR
51143,DYNC1LI1,-5.264870089,1.40E-07,------,1.64E-06,0.003300989,0.50,0.78,-0.645,-0.4992
8900,CCNA1,-5.264022982,1.41E-07,--?---,1.64E-06,0.003316243,0.58,0.78,-0.6196,-0.5356
54839,LRRC49,-5.263608746,1.41E-07,--?---,1.65E-06,0.003323728,0.55,0.79,-0.6221,-0.5052
79017,GGCT,-5.263384424,1.41E-07,------,1.65E-06,0.003327787,0.57,0.80,-0.6355,-0.485
116441,TM4SF18,5.263330989,1.41E-07,++?++-,1.65E-06,0.003328755,1.84,1.28,,
27296,C20orf10,-5.263222317,1.42E-07,???---,1.65E-06,0.003330724,0.74,0.84,,
1291,COL6A1,5.261070829,1.43E-07,+--+++,1.67E-06,0.003369939,1.54,1.12,,
6247,RS1,-5.261044774,1.43E-07,?-?---,1.67E-06,0.003370417,0.69,0.84,-0.6407,-0.5162
463,ZFHX3,5.259640775,1.44E-07,++-+++,1.68E-06,0.003396252,2.49,1.24,0.6477,0.5599
1654,DDX3X,5.258969002,1.45E-07,-+?++-,1.68E-06,0.003408681,0.76,1.03,,0.5403
7045,TGFBI,5.257999166,1.46E-07,-+++++,1.69E-06,0.003426702,1.64,1.25,,
7566,ZNF18,-5.257871835,1.46E-07,--?---,1.69E-06,0.003429074,0.82,0.92,,
4645,MYO5B,-5.257832863,1.46E-07,--?---,1.69E-06,0.003429801,0.75,0.85,-0.636,-0.4642
147920,,-5.256372273,1.47E-07,???---,1.70E-06,0.003457139,0.80,0.88,,
64167,ERAP2,5.256256419,1.47E-07,++++++,1.70E-06,0.003459316,1.25,1.12,,
84991,RBM17,5.2562111,1.47E-07,+++++-,1.70E-06,0.003460169,1.59,1.19,0.7024,0.5924
51360,MBTPS2,-5.256199302,1.47E-07,--?---,1.70E-06,0.00346039,0.43,0.75,,-0.4509
8685,MARCO,5.254368003,1.49E-07,???+++,1.72E-06,0.003494996,1.55,1.38,,
550,AUP1,5.254054861,1.49E-07,++?+++,1.72E-06,0.003500947,1.65,1.18,0.6247,0.5395
256714,MAP7D2,-5.254042464,1.49E-07,------,1.72E-06,0.003501183,0.45,0.73,-0.6132,-0.5448
1993,ELAVL2,-5.253966654,1.49E-07,--?---,1.72E-06,0.003502625,0.72,0.83,,-0.4823
1230,CCR1,5.253008171,1.50E-07,++?++-,1.73E-06,0.003520909,1.48,1.18,,
